Symbol,MarketCap,Name,LastSale,IPOyear,Sector,industry,Summary Quote
EMP,n/a,"Entergy Mississippi, Inc.",24.95,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/emp
ENJ,n/a,"Entergy New Orleans, Inc.",25.12,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/enj
ENO,n/a,"Entergy New Orleans, Inc.",26.2224,2016,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/eno
EZT,n/a,Entergy Texas Inc,25.93,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ezt
EPD,$55.62B,Enterprise Products Partners L.P.,25.88,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/epd
EVC,$519.91M,Entravision Communications Corporation,5.75,2000,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/evc
ENV,$2.18B,"Envestnet, Inc",49.55,2010,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/env
EVHC,$5.41B,Envision Healthcare Corporation,44.76,2016,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/evhc
EVA,$756.61M,"Enviva Partners, LP",28.75,2015,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/eva
ENZ,$485.42M,"Enzo Biochem, Inc.",10.46,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/enz
EOG,$54.22B,"EOG Resources, Inc.",93.89,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eog
EPE,$772.5M,EP Energy Corporation,3.02,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epe
EPAM,$4.39B,"EPAM Systems, Inc.",83.65,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/epam
EPR,$5.2B,EPR Properties,70.57,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/epr
EPR^C,n/a,EPR Properties,28.05,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epr^c
EPR^E,n/a,EPR Properties,36.4252,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epr^e
EPR^F,n/a,EPR Properties,25.42,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epr^f
EQT,$11.07B,EQT Corporation,63.84,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eqt
EQGP,$7.55B,"EQT GP Holdings, LP",28.38,2015,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/eqgp
EQM,$5.91B,"EQT Midstream Partners, LP",73.3,2012,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/eqm
EFX,$11.83B,"Equifax, Inc.",98.25,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/efx
EQC,$3.75B,Equity Commonwealth,30.24,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqc
EQC^D,n/a,Equity Commonwealth,26.05,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eqc^d
EQCO,n/a,Equity Commonwealth,25.215,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqco
ELS,$7.58B,"Equity Lifestyle Properties, Inc.",87.08,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/els
ELS^C.CL,n/a,"Equity Lifestyle Properties, Inc.",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/els^c.cl
EQR,$24.42B,Equity Residential,66.47,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqr
EQS,$32.43M,"Equus Total Return, Inc.",2.399,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eqs
ERA,$231.52M,"Era Group, Inc.",10.88,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/era
EROS,$886.48M,Eros International PLC,14.3,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/eros
ESE,$1.48B,ESCO Technologies Inc.,57.2,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/ese
ESNT,$3.68B,Essent Group Ltd.,39.44,2013,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esnt
ESS,$16.85B,"Essex Property Trust, Inc.",255.27,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ess
EL,$39.83B,"Estee Lauder Companies, Inc. (The)",108.25,1995,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/el
ESL,$2.67B,Esterline Technologies Corporation,89.2,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esl
ETH,$831.65M,Ethan Allen Interiors Inc.,30.3,1993,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/eth
EURN,$1.28B,Euronav NV,8.05,2015,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/eurn
EEA,$77.66M,"European Equity Fund, Inc. (The)",9.62,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eea
EVR,$3.04B,Evercore Inc.,77.35,2006,Finance,Investment Managers,http://www.nasdaq.com/symbol/evr
RE,$9.33B,"Everest Re Group, Ltd.",227.3,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/re
EVRI,$479.52M,Everi Holdings Inc.,7.18,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/evri
ES,$19.47B,Eversource Energy,61.44,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/es
EVTC,$1.26B,"Evertec, Inc.",17.35,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/evtc
EVH,$1.25B,"Evolent Health, Inc",16.2,2015,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evh
XCO,$29.23M,EXCO Resources NL,1.35,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xco
EXC,$35.67B,Exelon Corporation,37.15,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/exc
EXPR,$520.88M,"Express, Inc.",6.61,2010,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/expr
STAY,$3.83B,"Extended Stay America, Inc.",19.9,2013,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/stay
EXTN,$1.07B,Exterran Corporation,29.87,2015,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/extn
EXR,$10B,Extra Space Storage Inc,79.34,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/exr
XOM,$338.5B,Exxon Mobil Corporation,79.89,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/xom
FNB,$4.3B,F.N.B. Corporation,13.29,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnb
FNB^E,n/a,F.N.B. Corporation,29.27,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fnb^e
FN,$1.34B,Fabrinet,35.78,2010,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/fn
FDS,$6.56B,FactSet Research Systems Inc.,167.15,1996,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fds
FICO,$4.22B,Fair Isaac Corporation,137.68,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/fico
FMSA,$858.23M,Fairmount Santrol Holdings Inc.,3.83,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/fmsa
SFUN,$1.86B,Fang Holdings Limited,4.28,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/sfun
FPI,$331.77M,Farmland Partners Inc.,8.51,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fpi
FPI^B,n/a,Farmland Partners Inc.,26.79,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpi^b
FBK,$1.1B,FB Financial Corporation,36.06,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/fbk
FFG,$1.76B,"FBL Financial Group, Inc.",70.5,1996,Finance,Life Insurance,http://www.nasdaq.com/symbol/ffg
FCB,$1.99B,"FCB Financial Holdings, Inc.",45.95,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/fcb
AGM,$740.27M,Federal Agricultural Mortgage Corporation,69.81,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/agm
AGM.A,n/a,Federal Agricultural Mortgage Corporation,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agm.a
AGM^A,n/a,Federal Agricultural Mortgage Corporation,25.97,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agm^a
AGM^B,n/a,Federal Agricultural Mortgage Corporation,26.92,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agm^b
AGM^C,n/a,Federal Agricultural Mortgage Corporation,27.9519,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agm^c
FRT,$8.95B,Federal Realty Investment Trust,123.85,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/frt
FSS,$1.21B,Federal Signal Corporation,20.21,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/fss
FII,$2.9B,"Federated Investors, Inc.",28.54,1998,Finance,Investment Managers,http://www.nasdaq.com/symbol/fii
FPT,$75.74M,Federated Premier Intermediate Municipal Income Fund,13.56,2002,n/a,n/a,http://www.nasdaq.com/symbol/fpt
FMN,$89.94M,Federated Premier Municipal Income Fund,14.53,2002,n/a,n/a,http://www.nasdaq.com/symbol/fmn
FDX,$58.7B,FedEx Corporation,218.83,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/fdx
RACE,$27.88B,Ferrari N.V.,113.57,2015,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/race
FGP,$487.71M,"Ferrellgas Partners, L.P.",5.02,1994,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/fgp
FOE,$1.78B,Ferro Corporation,21.3,n/a,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/foe
FCAU,$33.81B,Fiat Chrysler Automobiles N.V.,17.37,2014,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/fcau
FBR,$7.27B,Fibria Celulose S.A.,13.12,1997,Basic Industries,Paper,http://www.nasdaq.com/symbol/fbr
FGL,$1.82B,Fidelity and Guaranty Life,31.1,2013,Finance,Life Insurance,http://www.nasdaq.com/symbol/fgl
FNF,$16.02B,"Fidelity National Financial, Inc.",47.39,2014,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fnf
FNF$,n/a,"Fidelity National Financial, Inc.",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fnf$
FNFV,$5.9B,"Fidelity National Financial, Inc.",17.45,2014,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fnfv
FIS,$30.82B,"Fidelity National Information Services, Inc.",92.72,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/fis
FMO,$444.47M,Fiduciary/Claymore MLP Opportunity Fund,12.57,2004,n/a,n/a,http://www.nasdaq.com/symbol/fmo
FSCE,n/a,Fifth Street Finance Corp.,25.2044,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fsce
FAC,$44.91M,First Acceptance Corporation,1.09,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/fac
FAF,$5.41B,First American Corporation (The),48.84,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/faf
FBP,$1.2B,First BanCorp.,5.57,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbp
FCFS,$2.91B,"First Cash, Inc.",61,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/fcfs
FCF,$1.29B,First Commonwealth Financial Corporation,13.28,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcf
FDC,$16.9B,First Data Corporation,18.31,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/fdc
FHN,$4.21B,First Horizon National Corporation,17.96,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fhn
FHN^A,n/a,First Horizon National Corporation,25.38,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fhn^a
FR,$3.75B,"First Industrial Realty Trust, Inc.",31.25,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fr
AG,$1.13B,First Majestic Silver Corp.,6.85,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ag
FPO,$653.78M,First Potomac Realty Trust,11.13,2003,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fpo
FRC,$15.85B,FIRST REPUBLIC BANK,100.8,n/a,n/a,n/a,http://www.nasdaq.com/symbol/frc
FRC^C,n/a,FIRST REPUBLIC BANK,25.28,n/a,n/a,n/a,http://www.nasdaq.com/symbol/frc^c
FRC^D,n/a,FIRST REPUBLIC BANK,25.55,n/a,n/a,n/a,http://www.nasdaq.com/symbol/frc^d
FRC^E,n/a,FIRST REPUBLIC BANK,26.5895,n/a,n/a,n/a,http://www.nasdaq.com/symbol/frc^e
FRC^F,n/a,FIRST REPUBLIC BANK,26.17,n/a,n/a,n/a,http://www.nasdaq.com/symbol/frc^f
FRC^G,n/a,FIRST REPUBLIC BANK,26.31,n/a,n/a,n/a,http://www.nasdaq.com/symbol/frc^g
FRC^H,n/a,FIRST REPUBLIC BANK,25.06,n/a,n/a,n/a,http://www.nasdaq.com/symbol/frc^h
FFA,$301.59M,First Trust,15.1,2004,n/a,n/a,http://www.nasdaq.com/symbol/ffa
FMY,$60.21M,First Trust,14.29,2005,n/a,n/a,http://www.nasdaq.com/symbol/fmy
FDEU,$329.99M,First Trust Dynamic Europe Equity Income Fund,19.15,2015,n/a,n/a,http://www.nasdaq.com/symbol/fdeu
FIF,$318.71M,First Trust Energy Infrastructure Fund,18.16,2011,n/a,n/a,http://www.nasdaq.com/symbol/fif
FSD,$509.1M,First Trust High Income Long Short Fund,17,2010,n/a,n/a,http://www.nasdaq.com/symbol/fsd
FPF,$1.48B,First Trust Intermediate Duration Preferred & Income Fund,24.38,2013,n/a,n/a,http://www.nasdaq.com/symbol/fpf
FEI           ,$682.97M,First Trust MLP and Energy Income Fund,14.97,1984,n/a,n/a,http://www.nasdaq.com/symbol/fei
FPL,$298.56M,First Trust New Opportunities MLP & Energy Fund,12.23,2014,n/a,n/a,http://www.nasdaq.com/symbol/fpl
FIV,$343.59M,First Trust Senior Floating Rate 2022 Target Term Fund,9.59,2016,n/a,n/a,http://www.nasdaq.com/symbol/fiv
FCT,$351.6M,First Trust Senior Floating Rate Income Fund II,13.17,2004,n/a,n/a,http://www.nasdaq.com/symbol/fct
FGB,$95.94M,First Trust Specialty Finance and Financial Opportunities Fund,6.69,2007,n/a,n/a,http://www.nasdaq.com/symbol/fgb
FHY,$113.08M,First Trust Strategic High Income Fund II,13.79,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fhy
FEO,$89.65M,First Trust/Aberdeen Emerging Opportunity Fund,17.35,n/a,n/a,n/a,http://www.nasdaq.com/symbol/feo
FAM,$154.11M,First Trust/Aberdeen Global Opportunity Income Fund,11.9,2006,n/a,n/a,http://www.nasdaq.com/symbol/fam
FE,$13.84B,FirstEnergy Corporation,31.15,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/fe
FIT,$1.47B,"Fitbit, Inc.",6.29,2015,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/fit
OAKS,$93.21M,Five Oaks Investment Corp.,4.21,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/oaks
OAKS^A,n/a,Five Oaks Investment Corp.,25.1,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oaks^a
FPH,$831.47M,"Five Point Holdings, LLC",13.35,2017,Finance,Real Estate,http://www.nasdaq.com/symbol/fph
FBC,$1.95B,"Flagstar Bancorp, Inc.",34.1,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fbc
DFP,$508.48M,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,26.54,2013,n/a,n/a,http://www.nasdaq.com/symbol/dfp
PFD,$163.68M,Flaherty & Crumrine Preferred Income Fund Incorporated,14.6618,1991,n/a,n/a,http://www.nasdaq.com/symbol/pfd
PFO,$152.36M,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,12.19,1992,n/a,n/a,http://www.nasdaq.com/symbol/pfo
FFC,$940.84M,Flaherty & Crumrine Preferred Securities Income Fund Inc,21.3,2003,n/a,n/a,http://www.nasdaq.com/symbol/ffc
FLC,$213.8M,Flaherty & Crumrine Total Return Fund Inc,21.47,2003,n/a,n/a,http://www.nasdaq.com/symbol/flc
FLT,$13.84B,"FleetCor Technologies, Inc.",150.64,2010,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/flt
FND,$3.68B,"Floor & Decor Holdings, Inc.",39.01,2017,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fnd
FTK,$303.29M,"Flotek Industries, Inc.",5.29,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ftk
FLO,$3.8B,"Flowers Foods, Inc.",18.16,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/flo
FLS,$5.51B,Flowserve Corporation,42.19,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/fls
FLR,$5.75B,Fluor Corporation,41.1,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/flr
FLY,$433.01M,Fly Leasing Limited,14.35,2007,n/a,n/a,http://www.nasdaq.com/symbol/fly
FMC,$12.13B,FMC Corporation,90.44,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fmc
FMX,$35.55B,Fomento Economico Mexicano S.A.B. de C.V.,99.35,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/fmx
FL,$4.18B,"Foot Locker, Inc.",33.7,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/fl
F,$45.72B,Ford Motor Company,11.72,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/f
FELP,$619.4M,Foresight Energy LP,4.35,2014,Energy,Coal Mining,http://www.nasdaq.com/symbol/felp
FCE.A,n/a,"Forest City Realty Trust, Inc.",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fce.a
FOR,$725.47M,Forestar Group Inc,17.3,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/for
FTS,$15.31B,Fortis Inc.,36.62,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/fts
FTV,$24.27B,Fortive Corporation,69.93,2016,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ftv
FIG,$3.1B,Fortress Investment Group LLC,7.98,2007,Finance,Investment Managers,http://www.nasdaq.com/symbol/fig
FTAI,$1.36B,Fortress Transportation and Infrastructure Investors LLC,17.93,2015,n/a,n/a,http://www.nasdaq.com/symbol/ftai
FSM,$736.72M,Fortuna Silver Mines Inc.,4.62,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/fsm
FBHS,$9.99B,"Fortune Brands Home & Security, Inc.",64.89,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/fbhs
FET,$1.39B,"Forum Energy Technologies, Inc.",14.4,2012,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/fet
FBM,$560.68M,"Foundation Building Materials, Inc.",13.08,2017,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fbm
FCPT,$1.55B,"Four Corners Property Trust, Inc.",25.32,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fcpt
FNV,$14.64B,Franco-Nevada Corporation,78.92,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/fnv
FC,$264.02M,Franklin Covey Company,19.05,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/fc
FSB,$454.83M,"Franklin Financial Network, Inc.",34.5,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/fsb
BEN,$23.75B,"Franklin Resources, Inc.",42.58,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ben
FT,$182.71M,Franklin Universal Trust,7.27,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ft
FI,$1.69B,Frank&#39;s International N.V.,7.57,2013,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/fi
FCX,$20.23B,"Freeport-McMoran, Inc.",13.98,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/fcx
FMS,$29.99B,Fresenius Medical Care Corporation,48.86,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/fms
FDP,$2.39B,"Fresh Del Monte Produce, Inc.",47.73,1997,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/fdp
FRO,$989.99M,Frontline Ltd.,5.83,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/fro
FSIC,$1.98B,FS Investment Corporation,8.05,2014,n/a,n/a,http://www.nasdaq.com/symbol/fsic
FCN,$1.38B,"FTI Consulting, Inc.",35.02,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/fcn
FF,$656.25M,FutureFuel Corp.,15,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ff
GCV,$78.7M,"Gabelli Convertible and Income Securities Fund, Inc. (The)",5.59,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gcv
GCV^B,n/a,"Gabelli Convertible and Income Securities Fund, Inc. (The)",26.46,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gcv^b
GDV,$1.82B,Gabelli Dividend,22.05,2003,n/a,n/a,http://www.nasdaq.com/symbol/gdv
GDV^A,n/a,Gabelli Dividend,26.6319,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gdv^a
GDV^D,n/a,Gabelli Dividend,26.75,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gdv^d
GDV^G,n/a,Gabelli Dividend,25.57,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gdv^g
GAB,$1.52B,"Gabelli Equity Trust, Inc. (The)",6.41,1986,n/a,n/a,http://www.nasdaq.com/symbol/gab
GAB^D,n/a,"Gabelli Equity Trust, Inc. (The)",26.3,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gab^d
GAB^G,n/a,"Gabelli Equity Trust, Inc. (The)",24.98,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gab^g
GAB^H,n/a,"Gabelli Equity Trust, Inc. (The)",25.1,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gab^h
GAB^J,n/a,"Gabelli Equity Trust, Inc. (The)",25.6601,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gab^j
GGZ,$101.54M,Gabelli Global Small and Mid Cap Value Trust (The),13.0652,2014,n/a,n/a,http://www.nasdaq.com/symbol/ggz
GGZ^A,n/a,Gabelli Global Small and Mid Cap Value Trust (The),25.53,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggz^a
GGT,$230.66M,Gabelli Multi-Media Trust Inc. (The),9.5,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggt
GGT^B,n/a,Gabelli Multi-Media Trust Inc. (The),26.5,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggt^b
GUT,$306.4M,Gabelli Utility Trust (The),7.01,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gut
GUT^A,n/a,Gabelli Utility Trust (The),25.7132,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gut^a
GUT^C,n/a,Gabelli Utility Trust (The),25.6255,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gut^c
GFA,$118.01M,Gafisa SA,8.72,2007,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/gfa
GCAP,$302.82M,"GAIN Capital Holdings, Inc.",6.41,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gcap
GBL,$824.53M,"Gamco Investors, Inc.",28.14,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gbl
GNT,$146.28M,"GAMCO Natural Resources, Gold & Income Tust ",7,2011,n/a,n/a,http://www.nasdaq.com/symbol/gnt
GME,$2.01B,Gamestop Corporation,19.89,2002,Consumer Services,Electronics Distribution,http://www.nasdaq.com/symbol/gme
GPS,$10.93B,"Gap, Inc. (The)",27.86,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/gps
GDI,$5.07B,"Gardner Denver Holdings, Inc.",25.85,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gdi
IT,$11.18B,"Gartner, Inc.",123.38,1993,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/it
GLOG,$1.31B,GasLog LP.,16.3,2012,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/glog
GLOG^A,n/a,GasLog LP.,26.52,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glog^a
GLOP,$929.4M,GasLog Partners LP,23.55,2014,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/glop
GLOP^A,n/a,GasLog Partners LP,26.778,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glop^a
GATX,$2.38B,GATX Corporation,61.54,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/gatx
GMTA,n/a,GATX Corporation,26.7,2016,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/gmta
GZT,$1.91B,Gazit-Globe Ltd.,9.72,2011,Finance,Real Estate,http://www.nasdaq.com/symbol/gzt
GCP,$2.24B,GCP Applied Technologies Inc.,31.35,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gcp
GNK,$436.29M,Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ,12.67,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/gnk
GNRT,$396.69M,"Gener8 Maritime, Inc.",4.78,2015,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/gnrt
GNRC,$2.8B,Generac Holdlings Inc.,45,2010,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/gnrc
GAM,$949.12M,"General American Investors, Inc.",35.4,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gam
GAM^B,n/a,"General American Investors, Inc.",26.86,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gam^b
BGC,$935.39M,General Cable Corporation,18.8,1997,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/bgc
GD,$61.61B,General Dynamics Corporation,205.72,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/gd
GEH,n/a,General Electric Capital Corporation,25.4305,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/geh
GEK,n/a,General Electric Capital Corporation,25.4353,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/gek
GE,$214.28B,General Electric Company,24.75,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ge
GEB,n/a,General Electric Company,25.33,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/geb
GIS,$29.63B,"General Mills, Inc.",51.69,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/gis
GM,$56.76B,General Motors Company,39.1,2010,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/gm
GM.WS.B,n/a,General Motors Company,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gm.ws.b
GCO,$493.99M,Genesco Inc.,24.8,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/gco
GWR,$4.55B,"Genesee & Wyoming, Inc.",73,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/gwr
GEL,$3.2B,"Genesis Energy, L.P.",26.14,1996,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/gel
